2026-05-03 11:24:53 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/sessions "HTTP/1.1 200 OK"
2026-05-03 11:24:53 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/runtime/sessions/9d59440c-fc64-46e0-8b46-461c4f436a20 "HTTP/1.1 200 OK"
2026-05-03 11:24:53 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/runtime/sessions/00000000-0000-0000-0000-000000000000 "HTTP/1.1 404 Not Found"
2026-05-03 11:24:54 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/sessions "HTTP/1.1 200 OK"
2026-05-03 11:24:54 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/runs "HTTP/1.1 200 OK"
2026-05-03 11:24:54 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/runtime/sessions/806602c5-ca36-4f07-ab5f-57adb0c8e510 "HTTP/1.1 200 OK"
2026-05-03 11:24:54 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/sessions "HTTP/1.1 200 OK"
2026-05-03 11:24:54 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/runs "HTTP/1.1 200 OK"
2026-05-03 11:24:54 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/sessions "HTTP/1.1 200 OK"
2026-05-03 11:24:54 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/runs "HTTP/1.1 400 Bad Request"
2026-05-03 11:24:54 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/sessions "HTTP/1.1 200 OK"
2026-05-03 11:24:54 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/uploads "HTTP/1.1 200 OK"
2026-05-03 11:24:54 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/runs "HTTP/1.1 200 OK"
2026-05-03 11:24:54 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/sessions "HTTP/1.1 200 OK"
2026-05-03 11:24:54 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/uploads "HTTP/1.1 400 Bad Request"
2026-05-03 11:24:54 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/auth/login "HTTP/1.1 200 OK"
2026-05-03 11:24:54 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/auth/token "HTTP/1.1 200 OK"
2026-05-03 11:24:54 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/plugin "HTTP/1.1 200 OK"
2026-05-03 11:24:54 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/skill "HTTP/1.1 200 OK"
2026-05-03 11:24:54 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/cron "HTTP/1.1 200 OK"
2026-05-03 11:24:54 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/insights "HTTP/1.1 200 OK"
2026-05-03 11:24:54 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/update/status "HTTP/1.1 200 OK"
2026-05-03 11:24:54 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/agent "HTTP/1.1 200 OK"
2026-05-03 11:24:54 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/conversation "HTTP/1.1 200 OK"
2026-05-03 11:24:54 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/message/conversation/5327b1b8-593c-4d53-b5ea-9b84e5055409 "HTTP/1.1 200 OK"
2026-05-03 11:24:54 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/message/chat "HTTP/1.1 200 OK"
2026-05-03 11:24:54 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/message/conversation/5327b1b8-593c-4d53-b5ea-9b84e5055409/poll "HTTP/1.1 200 OK"
2026-05-03 12:19:24 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2026-05-03 12:19:24 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/assets/index-C85q3RS_.js "HTTP/1.1 200 OK"
2026-05-03 12:19:24 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/auth/login "HTTP/1.1 200 OK"
2026-05-03 12:23:20 | INFO     | openai._base_client:1111 | Retrying request to /chat/completions in 0.447497 seconds
2026-05-03 12:24:20 | INFO     | openai._base_client:1111 | Retrying request to /chat/completions in 0.884643 seconds
2026-05-03 12:24:22 | INFO     | httpx:1025 | HTTP Request: POST http://127.0.0.1:4000/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-03 13:02:29 | INFO     | httpx:1025 | HTTP Request: POST http://127.0.0.1:4000/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-03 13:12:52 | INFO     | httpx:1025 | HTTP Request: POST http://127.0.0.1:4000/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-03 13:15:19 | INFO     | httpx:1025 | HTTP Request: POST http://127.0.0.1:4000/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-03 13:18:30 | INFO     | httpx:1025 | HTTP Request: POST http://127.0.0.1:4000/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-03 13:18:41 | INFO     | httpx:1025 | HTTP Request: POST http://127.0.0.1:4000/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-03 13:24:48 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/auth/login "HTTP/1.1 200 OK"
2026-05-03 13:24:48 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/auth/token "HTTP/1.1 200 OK"
2026-05-03 13:24:48 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/plugin "HTTP/1.1 200 OK"
2026-05-03 13:24:48 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/skill "HTTP/1.1 200 OK"
2026-05-03 13:24:48 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/cron "HTTP/1.1 200 OK"
2026-05-03 13:24:48 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/insights "HTTP/1.1 200 OK"
2026-05-03 13:24:48 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/update/status "HTTP/1.1 200 OK"
2026-05-03 13:24:48 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/agent "HTTP/1.1 200 OK"
2026-05-03 13:24:48 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/conversation "HTTP/1.1 200 OK"
2026-05-03 13:24:48 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/message/conversation/34762e7c-0b18-4799-8fb4-7b55259462ec "HTTP/1.1 200 OK"
2026-05-03 13:24:48 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/message/chat "HTTP/1.1 200 OK"
2026-05-03 13:24:48 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/message/conversation/34762e7c-0b18-4799-8fb4-7b55259462ec/poll "HTTP/1.1 200 OK"
2026-05-03 13:25:38 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/v1/chat "HTTP/1.1 405 Method Not Allowed"
2026-05-03 13:25:38 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/v1/chat/stream "HTTP/1.1 405 Method Not Allowed"
2026-05-03 13:25:39 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/sessions "HTTP/1.1 200 OK"
2026-05-03 13:25:39 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/runtime/sessions/05e28e2b-b094-4bb6-8d97-cafb101ec666 "HTTP/1.1 200 OK"
2026-05-03 13:25:39 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/runtime/sessions/00000000-0000-0000-0000-000000000000 "HTTP/1.1 404 Not Found"
2026-05-03 13:25:39 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/sessions "HTTP/1.1 200 OK"
2026-05-03 13:25:39 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/runs "HTTP/1.1 200 OK"
2026-05-03 13:25:39 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/runtime/sessions/35f0da51-0542-4c71-988c-a6e595eb4af6 "HTTP/1.1 200 OK"
2026-05-03 13:25:39 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/sessions "HTTP/1.1 200 OK"
2026-05-03 13:25:39 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/runs "HTTP/1.1 200 OK"
2026-05-03 13:25:39 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/sessions "HTTP/1.1 200 OK"
2026-05-03 13:25:39 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/runs "HTTP/1.1 400 Bad Request"
2026-05-03 13:25:39 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/sessions "HTTP/1.1 200 OK"
2026-05-03 13:25:39 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/uploads "HTTP/1.1 200 OK"
2026-05-03 13:25:39 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/runs "HTTP/1.1 200 OK"
2026-05-03 13:25:39 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/sessions "HTTP/1.1 200 OK"
2026-05-03 13:25:39 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/uploads "HTTP/1.1 400 Bad Request"
2026-05-03 14:01:39 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/v1/chat "HTTP/1.1 405 Method Not Allowed"
